route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,jp_parent_route_id
R090400164040000,5060001001128,那須塩原駅西口～板室温泉～那須ハイランドパーク,那須塩原駅～板室温泉～那須ＨＰ,,3,,,,R090400164
R090400164060000,5060001001128,那須塩原駅西口～板室温泉～那須ハイランドパーク,那須塩原駅～板室温泉～那須ＨＰ,,3,,,,R090400164
R090400164080000,5060001001128,那須塩原駅西口～板室温泉～那須ハイランドパーク,那須塩原駅～板室温泉～那須ＨＰ,,3,,,,R090400164
R090400205010000,5060001001128,那須高原観光周遊バス［Ａコース］,那須高原観光周遊バス：Ａコース,,3,,,,R090400205
R090400206010000,5060001001128,那須高原観光周遊バス［Ｂコース］,那須高原観光周遊バス：Ｂコース,,3,,,,R090400206
R090400207000000,5060001001128,那須高原観光周遊バス［Ｃコース］,那須高原観光周遊バス：Ｃコース,,3,,,,R090400207
R090400208010000,5060001001128,那須高原観光周遊バス［Ｄコース］,那須高原観光周遊バス：Ｄコース,,3,,,,R090400208
R090400209000000,5060001001128,那須高原観光周遊バス［Ｅコース］,那須高原観光周遊バス：Ｅコース,,3,,,,R090400209
R090400209010000,5060001001128,那須高原観光周遊バス［Ｅコース］,那須高原観光周遊バス：Ｅコース,,3,,,,R090400209
R090400168000000,5060001001128,,馬頭車庫～小川・喜連川～氏家駅,,3,,,,R090400168
R090400168010000,5060001001128,,馬頭車庫～小川・喜連川～氏家駅,,3,,,,R090400168
R090400170000000,5060001001128,馬頭車庫～倉骨～西那須野駅東口,馬頭車庫～倉骨～西那須野駅,,3,,,,R090400170
R090400170010000,5060001001128,馬頭車庫～倉骨～西那須野駅東口,馬頭車庫～倉骨～西那須野駅,,3,,,,R090400170
R090400118000000,5060001001128,,平松本町循環,,3,,,,R090400118
R090400103000000,5060001001128,［７０］,宝木団地～釜井台団地,,3,,,,R090400103
R090400103010001,5060001001128,［５５］,宝木団地～釜井台団地,,3,,,,R090400103
R090400104000000,5060001001128,［７３］,宝木団地～奈坪台,,3,,,,R090400104
